Id,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,BsmtFullBath,GarageCars,SalePrice
39,5,7,1953,2007,1057,1057,1,1,109000
40,4,5,1955,1955,0,1152,0,0,82000
41,6,5,1965,1965,1088,1324,0,2,160000
42,5,6,1959,1959,1350,1328,0,1,170000
43,5,7,1983,1983,840,884,1,2,144000
44,5,6,1975,1980,938,938,1,1,130250
45,5,6,1959,1959,1150,1150,1,1,141000
46,9,5,2005,2005,1752,1752,1,2,319900
47,7,5,2003,2003,1434,2149,1,2,239686
48,8,5,2006,2006,1656,1656,0,3,249700
49,4,5,1920,2008,736,1452,0,0,113000
50,5,7,1966,1966,955,955,1,1,127000
51,6,6,1997,1997,794,1470,0,2,177000
52,6,6,1934,1950,816,1176,0,2,114500
53,5,5,1963,1963,816,816,1,2,110000
54,9,5,1981,1987,1842,1842,2,3,385000
55,5,5,1955,1955,384,1360,0,2,130000
56,6,5,1964,1964,1425,1425,0,2,180500
57,8,5,1999,2000,970,1739,1,2,172500
58,7,5,2004,2004,860,1720,0,2,196500
59,10,5,2006,2006,1410,2945,0,3,438780
60,5,7,1972,1972,780,780,0,1,124900
61,6,5,2004,2004,1158,1158,1,2,158000
62,5,7,1920,1996,530,1111,0,1,101000
63,8,5,2006,2006,1370,1370,0,2,202500
64,7,6,1921,1950,576,1710,0,2,140000
65,7,5,1997,1998,1057,2034,1,2,219500
66,8,5,2004,2005,1143,2473,0,3,317000
67,7,5,1970,1989,1947,2207,1,2,180000
68,7,5,2003,2003,1453,1479,1,2,226000
69,4,6,1945,1950,747,747,0,1,80000
70,7,4,1953,1953,1304,2287,0,2,225000
71,7,6,1973,1973,2223,2223,1,2,244000
72,4,6,1982,2006,845,845,1,2,129500
73,7,5,1998,1998,832,1718,0,2,185000
74,5,7,1954,2003,1086,1086,1,2,144900
75,3,6,1915,1950,840,1605,0,1,107400
76,4,5,1973,1973,462,988,1,1,91000
77,4,7,1956,1956,952,952,0,1,135750
78,5,5,1948,2001,672,1285,1,1,127000
79,4,5,1968,1968,1768,1768,0,0,136500
80,5,6,1910,1981,440,1230,0,2,110000
81,6,6,1968,1968,896,2142,0,1,193500
82,6,5,1998,1998,1237,1337,1,2,153500
83,8,5,2007,2007,1563,1563,0,3,245000
84,5,5,1960,1960,1065,1065,0,2,126500
85,7,5,1995,1996,384,1474,0,2,168500
86,8,5,1991,1992,1288,2417,0,2,260000
87,6,5,2005,2005,684,1560,0,2,174000
88,6,5,2009,2009,612,1224,0,2,164500
89,3,2,1915,1982,1013,1526,0,0,85000
90,4,5,1994,1995,990,990,1,0,123600
91,4,5,1950,1950,0,1040,0,2,109900
92,5,3,1961,1961,1235,1235,0,2,98600
93,5,7,1921,2006,876,964,1,2,163500
94,6,6,1910,1998,1214,2291,0,2,133900
95,6,5,1997,1997,824,1786,1,2,204750
96,6,8,1993,1993,680,1470,0,2,185000
97,7,5,1999,1999,1588,1588,0,2,214000
98,4,5,1965,1965,960,960,1,1,94750
99,5,5,1920,1950,458,835,0,1,83000
100,4,5,1959,1959,950,1225,1,0,128950
101,6,7,1977,2001,1610,1610,1,2,205000
102,6,5,1985,1985,741,1732,0,2,178000
103,5,5,1979,1979,0,1535,0,2,118964
104,7,5,2009,2009,1226,1226,0,3,198900
105,7,4,1931,1950,1040,1818,0,1,169500
106,8,5,2003,2004,1053,1992,0,2,250000
107,4,7,1885,1995,641,1047,0,1,100000
108,5,5,1948,1950,789,789,0,1,115000
109,5,7,1919,2005,793,1517,0,0,115000
110,6,6,1977,1977,1844,1844,0,2,190000
111,6,4,1954,1972,994,1855,0,1,136900
112,7,5,2000,2000,384,1430,0,2,180000
113,7,5,2007,2007,1264,2696,1,3,383970
114,6,5,1953,1953,1809,2259,1,2,217000
115,6,8,1945,2002,1028,2320,1,1,259500
116,6,5,1999,1999,729,1458,0,2,176000
117,5,5,1962,1962,1092,1092,0,1,139000
118,5,5,2006,2007,1125,1125,0,2,155000
119,7,5,1990,1990,1673,3222,1,3,320000
120,6,5,2005,2006,728,1456,0,2,163990
121,6,5,1969,1969,938,988,1,2,180000
122,4,5,1939,1950,732,1123,0,1,100000
123,6,7,1958,1958,1080,1080,0,1,136000
124,6,5,1993,1993,1199,1199,0,2,153900
125,6,5,1979,1998,1362,1586,0,2,181000
126,6,8,1935,1982,520,754,1,0,84500
127,6,5,1976,1976,1078,958,0,2,128000
128,5,7,1930,1950,672,840,0,0,87000
129,6,5,1966,1966,660,1348,0,2,155000
130,5,7,1958,1991,1008,1053,0,2,150000
131,7,6,1966,1966,924,2157,0,2,226000
132,6,5,2000,2000,992,2054,1,2,244000
133,5,6,1959,2002,1063,1327,1,2,150750
134,8,5,2001,2002,1267,1296,1,2,220000
135,5,6,1968,1993,1461,1721,0,2,180000
136,7,6,1970,1970,1304,1682,0,2,174000
137,5,5,1967,1967,1214,1214,0,1,143000
138,7,5,1988,1989,1907,1959,0,3,171000
139,8,5,1999,2000,1004,1852,0,3,230000
140,6,5,1997,1997,928,1764,1,2,231500
141,4,5,1971,1971,864,864,0,0,115000
142,7,5,2005,2005,1734,1734,1,2,260000
143,5,4,1952,1952,910,1385,0,2,166000
144,7,5,1999,1999,1490,1501,1,2,204000
145,5,5,1963,1963,1728,1728,1,2,125000
146,6,5,2004,2006,970,1709,0,2,130000
147,5,7,1931,1993,715,875,1,1,105000
148,7,5,2001,2001,884,2035,0,2,222500
149,7,5,2004,2005,1080,1080,1,0,141000
150,5,4,1936,1950,896,1344,0,1,115000
151,5,6,1975,1975,969,969,0,2,122000
152,8,5,2007,2008,1710,1710,1,3,372402
153,6,5,1971,1971,825,1993,0,2,190000
154,6,7,1960,1975,1602,1252,1,2,235000
155,6,5,1923,1950,1200,1200,0,1,125000
156,6,5,1924,1950,572,1096,0,0,79000
157,5,7,1950,1950,0,1040,0,2,109500
158,8,5,2009,2010,774,1968,0,3,269500
159,7,5,2004,2005,991,1947,0,2,254900
160,7,5,2005,2006,1392,2462,1,2,320000
161,6,6,1984,1984,1232,1232,0,2,162500
162,9,5,2003,2004,1572,2668,1,3,412500
163,7,5,2005,2005,1541,1541,0,2,220000
164,4,6,1956,1956,882,882,0,0,103200
165,6,7,1926,2004,1149,1616,0,1,152000
166,5,7,1940,1999,644,1355,1,0,127500
167,5,5,1955,1993,1617,1867,1,1,190000
168,8,5,2007,2007,1582,2161,1,3,325624
169,7,5,2004,2004,840,1720,0,2,183500
170,8,6,1981,1981,1686,1707,0,2,228000
171,5,6,1941,1950,720,1382,0,2,128500
172,6,5,1960,1960,1080,1656,1,2,215000
173,7,7,1987,1987,1064,1767,1,2,239000
174,6,5,1961,1961,1362,1362,1,2,163000
175,6,5,1986,1986,1606,1651,1,2,184000
176,6,7,1950,2001,1202,2158,1,2,243000
177,6,5,1988,1989,1151,2060,0,2,211000
178,5,5,1958,1958,1052,1920,1,2,172500
179,9,5,2008,2009,2216,2234,1,3,501837
180,5,6,1923,2006,968,968,0,2,100000
181,6,5,2000,2000,756,1525,0,2,177000
182,7,6,1920,1950,793,1802,0,1,200100
183,5,6,1957,2006,0,1340,0,1,120000
184,7,5,2003,2003,1362,2082,0,2,200000
185,5,8,1908,1991,504,1252,0,2,127000
186,10,9,1892,1993,1107,3608,0,3,475000
187,7,5,1990,1991,1188,1217,1,2,173000
188,5,7,1916,1987,660,1656,0,1,135000
189,5,5,1979,1979,1086,1224,2,2,153337
190,8,5,2001,2002,1593,1593,1,2,286000
191,8,8,1932,1994,853,2727,0,2,315000
192,7,9,1972,2004,725,1479,1,2,184000
193,7,5,1999,1999,1431,1431,1,2,192000
194,7,5,2004,2004,970,1709,0,2,130000
195,5,7,1972,1972,864,864,0,1,127000
196,6,6,1976,1976,855,1456,0,2,148500
197,7,5,2007,2007,1726,1726,1,3,311872
198,8,4,1918,1990,1360,3112,1,2,235000
199,6,6,1912,1950,755,2229,0,0,104000
200,8,5,2004,2005,1713,1713,1,3,274900
201,4,5,2003,2004,1121,1121,0,2,140000
202,6,6,1977,1977,1196,1279,0,2,171500
203,6,6,1924,1950,617,1310,0,1,112000
204,6,5,2004,2004,848,848,1,2,149000
205,5,7,1947,1950,720,1284,0,1,110000
206,7,5,1990,1990,1424,1442,0,2,180500
207,5,5,1962,1962,1140,1696,0,1,143900
208,4,5,1960,1960,1100,1100,1,1,141000
209,7,5,1988,1989,1157,2062,1,2,277000
210,6,7,1964,1964,1092,1092,1,2,145000
211,5,6,1925,1950,864,864,1,0,98000
212,6,5,2009,2009,1212,1212,0,2,186000
213,7,5,2009,2009,900,1852,1,2,252678
214,5,5,1995,1995,990,990,0,2,156000
215,6,7,1977,1977,689,1392,0,1,161750
216,5,6,1957,1996,1070,1236,0,1,134450
217,7,5,2004,2004,1436,1436,1,2,210000
218,4,4,1925,1950,686,1328,0,1,107000
219,7,9,1939,2006,798,1954,0,2,311500
220,7,5,2005,2006,1248,1248,0,2,167240
221,7,5,2006,2006,1498,1498,0,2,204900
222,6,5,2002,2002,1010,2267,0,2,200000
223,6,6,1975,1975,713,1552,1,2,179900
224,4,6,1971,1971,864,864,0,2,97000
225,10,5,2003,2003,2392,2392,0,3,386250
226,5,5,1971,1971,630,1302,0,1,112000
227,7,5,1995,1995,1203,2520,0,3,290000
228,6,6,1970,1970,483,987,0,1,106000
229,5,5,1967,1967,912,912,0,1,125000
230,7,5,2005,2006,1373,1555,0,2,192500
231,6,6,1959,1959,1194,1194,1,1,148000
232,8,5,1995,1996,1462,2794,1,3,403000
233,6,5,1972,1972,483,987,0,1,94500
234,5,6,1976,1976,894,894,1,1,128200
235,6,5,2002,2002,860,1960,1,2,216500
236,6,3,1971,1971,483,987,0,1,89500
237,7,5,2004,2004,1414,1414,0,2,185500
238,7,7,1993,2003,996,1744,0,2,194500
239,8,5,2007,2007,1694,1694,0,3,318000
240,6,4,1945,1950,735,1487,0,1,113000
241,8,5,2008,2008,1566,1566,1,2,262500
242,5,9,1945,1997,686,866,0,0,110500
243,5,4,1900,1950,540,1440,0,1,79000
244,6,6,1980,1980,626,1217,0,1,120000
245,7,5,1994,2002,948,2110,1,2,205000
246,7,5,1988,1988,1845,1872,0,2,241500
247,6,8,1910,1950,1020,1928,0,1,137000
248,6,5,1954,1954,1367,1375,0,2,140000
249,7,5,2003,2003,840,1668,0,2,180000
250,6,7,1958,2006,1444,2144,0,2,277000
251,3,2,1940,1966,728,1306,0,0,76500
252,8,5,2006,2007,1573,1625,1,2,235000
253,6,5,2004,2004,798,1640,0,2,173000
254,6,7,1964,1991,1302,1302,0,1,158000
255,5,6,1957,1957,1314,1314,1,1,145000
256,7,5,1999,1999,975,2291,0,2,230000
257,6,5,2003,2003,864,1728,0,2,207500
258,7,5,2006,2006,1604,1604,1,2,220000
259,7,5,2001,2001,963,1792,0,2,231500
260,5,5,1956,1956,0,882,0,1,97000
261,6,5,1962,1962,1362,1382,1,2,176000
262,8,5,2007,2007,1482,2574,0,3,276000
263,6,7,1977,1995,506,1212,1,2,151000
264,5,7,1929,2001,926,1316,1,2,130000
265,5,5,1925,2004,680,764,0,2,73000
266,6,6,1981,1981,1422,1422,0,2,175500
267,6,5,1997,1997,802,1511,1,2,185000
268,5,8,1939,1997,720,2192,0,1,179500
269,5,6,1940,1955,740,778,0,1,120500
270,6,7,1976,1976,1143,1113,1,1,148000
271,8,5,2006,2006,1095,1939,0,3,266000
272,7,7,1954,2005,1385,1363,1,2,241500
273,8,7,1999,2007,1152,2270,0,3,290000
274,6,6,1958,1988,1240,1632,1,1,139000
275,5,7,1982,1982,816,816,0,1,124500
276,7,7,1925,2007,952,1548,0,2,205000
277,7,5,2003,2003,1560,1560,0,2,201000
278,4,5,1951,1951,864,864,0,2,141000
279,9,5,2006,2007,2121,2121,0,3,415298
280,7,5,1977,1977,1160,2022,0,2,192000
281,7,6,1989,1989,807,1982,0,2,228500
282,6,5,2006,2006,1262,1262,0,2,185000
283,7,5,2007,2008,1314,1314,1,2,207500
284,8,5,2008,2009,1468,1468,0,3,244600
285,6,5,1992,1992,1575,1575,1,2,179200
286,7,5,2006,2007,625,1250,0,2,164700
287,6,7,1962,1981,912,1734,0,2,159000
288,4,4,1971,1971,858,858,0,0,88000
289,5,5,1967,1967,882,900,0,1,122000
290,6,7,1915,2003,698,1396,0,1,153575
291,8,5,2006,2006,1079,1919,0,2,233230
292,5,6,1912,2000,780,1716,1,0,135900
293,5,4,1949,2008,768,1716,0,1,131000
294,7,7,1977,1994,795,2263,1,2,235000
295,6,5,1953,1953,1416,1644,1,2,167000
296,6,6,1984,1984,1003,1003,1,2,142500
297,5,5,1950,1950,910,1558,0,1,152000
298,7,5,1997,1998,975,1950,0,2,239000
299,6,6,1968,1968,702,1743,0,2,175000
300,6,8,1950,2004,1092,1152,0,1,158500
301,5,5,1953,1953,1165,1336,1,1,157000
302,8,5,1998,1999,1028,2452,0,2,267000
303,7,5,2001,2002,1541,1541,0,3,205000
304,5,7,1972,1972,894,894,1,2,149900
305,7,9,1880,2002,1470,3493,0,3,295000
306,8,5,2004,2005,2000,2000,1,3,305900
307,7,5,1990,1991,700,2243,1,3,225000
308,6,7,1920,1950,319,1406,0,0,89500
309,4,5,1940,1950,861,861,0,2,82500
310,9,5,2003,2004,1896,1944,1,3,360000
311,6,5,1993,1994,697,1501,0,2,165600
312,6,6,1948,2002,972,972,1,1,132000
313,5,7,1939,1950,793,1118,1,2,119900
314,7,5,1965,1965,2136,2036,2,2,375000
315,7,7,1925,1990,728,1641,0,2,178000
316,7,5,2004,2005,716,1432,1,2,188500
317,7,7,1980,1980,845,2353,1,2,260000
318,8,5,2006,2006,1088,1959,0,3,270000
319,7,5,1993,1993,1347,2646,1,3,260000
320,7,5,1980,1980,1372,1472,1,2,187500
321,9,5,2006,2006,1249,2596,0,3,342643
322,8,5,2004,2004,1136,2468,1,3,354000
323,7,5,1986,1987,1502,2730,1,2,301000
324,3,8,1955,2005,1162,1163,1,1,126175
325,7,7,1967,2007,710,2978,0,2,242000
326,5,6,1941,1950,720,803,0,2,87000
327,8,5,1993,1993,1719,1719,2,2,324000
328,6,5,1960,1960,1383,1383,0,1,145250
329,6,6,1916,1994,844,2134,0,2,214500
330,5,5,1920,1950,596,1192,0,1,78000
331,5,4,1964,1964,1728,1728,0,1,119000
332,5,6,1958,1992,1056,1056,1,1,139000
333,8,5,2003,2004,3206,1629,1,3,284000
334,7,5,2004,2004,1358,1358,1,2,207000
335,6,5,1998,1998,943,1638,1,2,192000
336,5,6,1965,1965,1499,1786,2,2,228950
337,9,5,2005,2006,1922,1922,1,3,377426
338,7,5,2002,2003,1536,1536,1,2,214000
339,7,7,1984,1998,1208,1621,1,2,202500
340,6,7,1958,1998,1215,1215,0,1,155000
341,8,5,2002,2002,967,1908,0,2,202900
342,4,4,1950,1950,721,841,0,1,82000
343,3,4,1949,1950,0,1040,0,2,87500
344,9,5,2005,2005,1684,1684,0,2,266000
345,5,3,1976,1976,536,1112,0,1,85000
346,6,5,1939,1950,972,1577,0,1,140200
347,6,8,1960,1998,958,958,0,1,151500
348,6,5,1960,1960,1478,1478,1,2,157500
349,7,5,2003,2004,764,1626,1,2,154000
350,9,5,2005,2006,1848,2728,1,3,437154
351,9,5,2007,2007,1869,1869,0,2,318061
352,7,5,1986,1986,1453,1453,1,2,190000
353,5,6,1941,1950,616,1111,0,1,95000
354,6,8,1928,2003,624,720,0,2,105900
355,6,5,1940,2000,940,1595,0,1,140000
356,6,5,1995,1995,1200,1200,1,2,177500
357,6,6,1992,1992,1158,1167,1,2,173000
358,5,5,1976,1976,1142,1142,1,2,134000
359,5,4,1958,1958,1062,1352,0,1,130000
360,8,5,1998,1998,1086,1924,1,2,280000
361,6,6,1978,1978,888,912,1,2,156000
362,5,5,1940,1982,883,1505,1,1,145000
363,7,5,2003,2003,0,1922,0,2,198500
364,6,8,1972,2007,483,987,0,1,118000
365,6,5,1976,1976,796,1574,1,2,190000
366,5,7,1920,1997,672,1344,0,1,147000
367,6,5,1963,1963,1394,1394,1,2,159000
368,6,5,1962,1962,1099,1431,0,1,165000
369,5,6,1954,1954,1268,1268,0,1,132000
370,5,7,1959,2006,1063,1287,1,2,162000
371,6,5,2000,2000,953,1664,0,2,172400
372,4,4,1959,1959,0,1588,0,2,134432
373,6,5,1984,1984,744,752,1,1,125000
374,5,6,1953,1953,608,1319,1,1,123000
375,7,5,2003,2004,847,1928,0,2,219500
376,1,1,1922,1950,683,904,1,0,61000
377,5,5,1996,1996,870,914,0,2,148000
378,8,5,2004,2005,1580,2466,0,2,340000
379,9,2,2010,2010,1856,1856,1,3,394432
380,6,5,2000,2000,982,1800,0,2,179000
381,5,6,1924,1950,1026,1691,0,1,127000
382,7,5,2006,2006,1293,1301,1,2,187750
383,7,5,2006,2006,939,1797,0,2,213500
384,6,3,1928,1950,784,784,0,2,76000
385,6,5,1992,1992,1580,1953,1,2,240000
386,8,5,2004,2005,1256,1269,0,2,192000
387,5,3,1910,1996,658,1184,0,0,81000
388,6,6,1976,1976,1041,1125,1,1,125000
389,7,5,1999,2000,1468,1479,0,2,191000
390,10,5,2007,2008,1682,2332,1,3,426000
391,5,8,1900,1950,861,1367,1,1,119000
392,6,5,2001,2002,804,1961,1,2,215000
393,5,7,1959,1959,0,882,0,1,106500
394,4,5,1941,1950,788,788,0,0,100000
395,5,6,1940,1950,735,1034,0,1,109000
396,5,6,1956,1956,1144,1144,1,1,129000
397,5,5,1972,1972,894,894,0,2,123000
398,5,5,1962,1962,864,1812,0,1,169500
399,5,2,1920,1950,961,1077,0,1,67000
400,7,5,2006,2007,1092,1550,1,2,241000
401,8,5,1996,1996,1260,1288,1,2,245500
402,7,5,2005,2005,1310,1310,0,2,164990
403,5,8,1940,1997,672,672,0,1,108000
404,8,5,1998,1998,1141,2263,0,2,258000
405,6,5,1995,1996,806,1572,0,2,168000
406,4,4,1976,1993,1281,1620,1,2,150000
407,6,5,1936,1950,1064,1639,0,1,115000
408,6,7,1915,1976,840,1680,0,1,177000
409,7,5,2006,2006,1063,2172,0,3,280000
410,8,5,2007,2008,1034,2078,1,3,339750
411,5,3,1958,1958,1276,1276,0,1,60000
412,5,5,1955,1955,1056,1056,1,2,145000
413,7,5,2009,2009,1470,1478,1,2,222000
414,5,6,1927,1950,1008,1028,0,2,115000
415,7,5,1993,1993,1080,2097,0,3,228000
416,7,5,2007,2007,1340,1340,0,2,181134
417,6,7,1978,1978,672,1400,0,2,149500
418,6,6,1918,1950,1370,2624,1,3,239000
419,5,6,1940,1950,756,1134,1,1,126000
420,5,6,1968,1968,1056,1056,1,1,142000
421,7,5,1997,1998,1344,1344,2,4,206300
422,6,7,1977,2000,1602,1602,0,2,215000
423,5,5,1954,1954,988,988,0,2,113000
424,8,5,1998,1998,1470,2630,1,3,315000
425,6,5,1956,1956,1196,1196,1,1,139000
426,7,8,1946,1992,651,1389,0,1,135000
427,7,5,1989,1989,1518,1644,1,2,275000
428,4,6,1957,1957,907,907,0,1,109008
429,7,5,2007,2007,1208,1208,1,2,195400
430,6,5,1988,1988,1392,1412,1,2,175000
431,6,5,1971,1971,483,987,0,1,85400
432,6,7,1920,1998,901,1198,0,0,79900
433,5,5,1971,1971,765,1365,1,2,122500
434,6,5,1997,1998,926,1604,0,2,181000
435,4,7,1972,1972,630,630,1,0,81000
436,7,6,1996,1996,799,1661,1,2,212000
437,6,8,1920,1950,648,1118,0,2,116000
438,6,7,1926,2004,884,904,0,1,119000
439,5,6,1913,2002,440,694,0,1,90350
440,6,8,1920,2000,684,1196,0,2,110000
441,10,5,2008,2008,3094,2402,1,3,555000
442,4,4,1955,1955,1440,1440,0,0,118000
443,5,7,1930,1992,1078,1573,0,2,162900
444,7,5,2006,2007,1258,1258,0,3,172500
445,7,5,1994,1995,915,1908,1,2,210000
446,6,5,1956,1956,1436,1689,0,2,127500
447,6,6,1966,2002,1517,1888,0,2,190000
448,7,5,1998,1999,930,1886,0,2,199900
449,6,6,1937,1950,780,1376,0,1,119500
450,3,7,1948,2002,649,1183,0,1,120000
451,6,8,1930,2005,813,813,0,1,110000
452,7,5,1975,1975,1533,1533,1,2,280000
453,6,5,1996,1997,872,1756,1,2,204000
454,8,5,2008,2008,768,1590,0,2,210000
455,5,5,1976,1976,1728,1728,2,2,188000
456,7,6,1973,1973,1242,1242,0,2,175500
457,5,5,1916,1950,624,1344,0,3,98000
458,4,6,1954,1994,1364,1663,1,2,256000
459,8,7,1925,1996,588,1666,0,1,161000
460,5,4,1950,1950,709,1203,1,1,110000
461,8,5,2009,2009,832,1935,1,2,263435
462,7,9,1936,2007,560,1135,1,2,155000
463,5,5,1965,1965,864,864,0,1,62383
464,6,7,1934,1995,715,1660,0,1,188700
465,5,5,1978,1978,1040,1040,0,0,124000
466,7,5,2004,2004,1375,1414,0,2,178740
467,7,5,1970,1970,1277,1277,1,2,167000
468,5,7,1942,1995,728,1644,0,1,146500
469,8,5,2006,2006,1626,1634,0,3,250000
470,6,5,1993,1993,832,1710,0,2,187000
471,8,5,1985,1985,1488,1502,1,2,212000
472,7,6,1977,1977,808,1969,0,2,190000
473,6,5,2005,2005,547,1072,1,2,148000
474,8,5,2006,2007,1976,1976,1,3,440000
475,8,5,2000,2000,1494,1652,1,2,251000
476,5,6,1963,1963,970,970,1,2,132500
477,6,5,1997,1998,1478,1493,1,2,208900
478,9,5,2006,2006,2153,2643,0,3,380000
479,8,5,2007,2008,1705,1718,1,3,297000
480,4,7,1937,2000,907,1131,0,2,89471
481,9,5,2004,2005,1833,1850,1,3,326000
482,9,5,2003,2004,1792,1792,1,3,374000
483,7,8,1915,2005,910,1826,1,1,155000
484,6,5,1998,1998,1216,1216,1,2,164000
485,5,7,1962,2001,999,999,1,1,132500
486,5,7,1950,2007,1113,1113,0,1,147000
487,5,7,1965,1965,1073,1073,1,2,156000
488,5,6,1971,1971,1484,1484,0,2,175000
489,5,4,1900,1970,954,2414,0,2,160000
490,4,8,1970,2002,630,630,1,1,86000
491,5,6,1976,1976,264,1304,0,1,115000
492,6,7,1941,1950,806,1578,1,1,133000
493,6,5,2006,2006,728,1456,0,2,172785
494,5,6,1960,1960,1269,1269,0,1,155000
495,5,8,1938,1996,190,886,0,1,91300
496,4,5,1920,1950,720,720,0,0,34900
497,8,5,1992,1993,3200,3228,1,2,430000
498,7,6,1925,1950,1026,1820,1,1,184000
499,5,7,1967,2004,864,899,0,1,130000
500,5,7,1958,1985,912,912,0,1,120000
501,6,5,1973,1973,672,1218,0,1,113000
502,7,5,2005,2005,866,1768,0,2,226700
503,5,7,1965,1965,1214,1214,1,2,140000
504,7,8,1959,1997,1501,1801,1,2,289000
505,6,5,1974,1974,855,1322,0,2,147000
506,5,5,1952,1952,960,1960,0,2,124500
507,8,5,1993,1994,777,1911,0,2,215000
508,6,5,2009,2009,1218,1218,0,2,208300
509,7,9,1928,2005,689,1378,0,2,161000
510,5,6,1959,1959,1041,1041,1,1,124500
511,5,7,1951,2000,1008,1363,1,1,164900
512,7,5,2005,2006,1368,1368,0,2,202665
513,5,5,1958,1958,864,864,1,2,129900
514,6,5,1983,1983,1084,1080,0,2,134000
515,5,5,1926,1950,768,789,0,1,96500
516,10,5,2009,2009,2006,2020,1,3,402861
517,6,6,1972,1972,689,2119,0,2,158000
518,7,5,1996,1997,1264,2344,0,3,265000
519,6,5,1998,1998,794,1796,1,2,211000
520,7,9,1926,2004,1276,2080,0,1,234000
521,4,7,1900,2000,0,1294,0,0,106250
522,6,6,1957,1957,1244,1244,0,1,150000
523,6,7,1947,1950,1004,1664,0,2,159000
524,10,5,2007,2008,3138,4676,1,3,184750
525,7,5,1996,1997,1379,2398,1,3,315750
526,7,5,2005,2005,1257,1266,0,2,176000
527,5,7,1956,2000,928,928,0,1,132000
528,9,5,2008,2008,1452,2713,1,3,446261
529,4,7,1920,2002,528,605,1,0,86000
530,6,3,1957,1975,2035,2515,1,2,200624
531,6,5,1988,1989,1461,1509,1,2,175000
532,6,8,1920,1999,611,1362,0,2,128000
533,5,7,1955,2007,0,827,0,1,107500
534,1,3,1946,1950,0,334,0,0,39300
535,8,5,2004,2004,707,1414,0,2,178000
536,5,7,1910,1991,1117,1347,1,0,107500
537,7,5,1998,1999,880,1724,0,2,188000
538,4,5,1972,1972,864,864,0,2,111250
539,5,5,1968,1968,1051,1159,0,1,158000
540,8,5,2001,2002,1581,1601,1,2,272000
541,9,5,2006,2006,1838,1838,1,3,315000
542,8,5,2000,2000,969,2285,0,3,248000
543,7,5,1998,1999,1650,1680,1,2,213250
544,7,5,1998,1998,723,767,1,1,133000
545,7,5,2006,2006,654,1496,1,2,179665
546,7,5,1988,1988,1204,2183,0,3,229000
547,6,7,1923,1950,1065,1635,0,2,210000
548,5,7,1970,1970,768,768,1,2,129500
549,5,7,1955,1995,825,825,1,2,125000
550,7,5,2003,2004,912,2094,0,2,263000
551,6,6,1977,1977,1069,1069,0,2,140000
552,5,6,1957,1957,928,928,0,1,112500
553,8,5,2006,2006,1709,1717,0,3,255500
554,4,5,1949,2003,0,1126,0,2,108000
555,7,5,2003,2004,998,2046,1,3,284000
556,5,6,1922,1950,993,1048,0,1,113000
557,5,5,1957,1957,1092,1092,1,1,141000
558,4,6,1920,1950,637,1336,0,1,108000
559,7,5,1996,1997,729,1446,0,2,175000
560,7,5,2003,2004,1374,1557,0,2,234000
561,5,6,1957,1996,1392,1392,1,2,121500
562,5,5,1974,1975,1389,1389,1,2,170000
563,5,6,1940,1969,996,996,1,0,108000
564,6,7,1918,1950,1163,1674,0,2,185000
565,7,5,1992,2000,1095,2295,1,2,268000
566,6,4,1915,1950,806,1647,1,1,128000
567,9,5,2005,2007,1122,2504,0,3,325000
568,7,5,2004,2004,1517,1535,0,2,214000
569,8,8,1983,2009,1496,2132,1,2,316600
